Release Date,Release Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
04/15/2022,DMS,G2,M,White,35,El Paso,23990209,Property,THEFT PROP <$2500 2+ CONV ENH IAT,10/24/2019,08/31/2018,2 Years & Less
08/12/2022,Parole,G2,M,Hispanic,40,Bexar,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,05/31/2022,05/07/2021,2 Years & Less
03/30/2022,SAFPF - Prl,FT,M,White,42,Potter,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/21/2019,09/12/2018,SAFPF
08/25/2022,Discharge,J2,F,Black,49,Gregg,23990194,Property,"THEFT PROP >=$2,500<$30K",11/02/2021,03/06/2020,14 to 15 Months
10/08/2021,Discharge,J2,M,White,40,Eastland,23990194,Property,"THEFT PROP >=$2,500<$30K",09/16/2020,08/14/2018,14 to 15 Months
01/04/2022,Discharge,J2,M,Black,43,McLennan,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/10/2021,11/28/2020,11 to 12 Months
07/01/2022,Discharge,J2,M,Hispanic,42,Hidalgo,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/15/2021,02/23/2020,14 to 15 Months
10/04/2021,Discharge,J2,M,White,42,Liberty,23990194,Property,"THEFT PROP >=$2,500<$30K",06/15/2021,12/17/2020,10 to 11 Months
05/18/2022,Discharge,J2,M,White,40,Hale,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/02/2021,07/06/2018,11 to 12 Months
10/22/2021,Discharge,J2,M,White,43,Hidalgo,23990194,Property,"THEFT PROP >=$2,500<$30K",02/26/2021,10/07/2020,11 to 12 Months
02/18/2022,Discharge,J2,M,Black,42,Parker,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",05/18/2021,01/05/2020,17 to 18 Months
