Release Date,Release Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
07/28/2022,Discharge,J2,F,Black,43,Jefferson,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/21/2022,07/29/2018,11 to 12 Months
10/21/2021,Parole,IT,M,Hispanic,38,Navarro,23990201,Property,THEFT PROP >=$150K<$300K,12/18/2020,05/19/2020,4 Years
09/22/2021,Parole,IT,F,White,40,Nueces,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/07/2018,07/05/2018,6 Years
05/13/2022,Discharge,J2,F,White,35,Taylor,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/17/2021,03/20/2021,11 to 12 Months
02/08/2022,DMS,G2,M,White,39,Dallas,23990010,Property,THEFT PROP >=$20K<$100K,12/15/2021,06/18/2013,2 Years & Less
10/20/2021,DMS,G2,M,White,39,Chambers,23990198,Property,THEFT PROP >=$30K<$150K,01/09/2020,09/10/2019,3 Years
01/11/2022,Parole,IT,M,Black,40,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/08/2019,07/03/2019,3 Years
02/16/2022,Discharge,J1,F,White,56,Hunt,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/07/2021,11/07/2019,11 to 12 Months
04/29/2022,Discharge,J1,F,Black,40,Brazos,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/29/2021,11/30/2019,8 to 9 Months
06/10/2022,Discharge,J2,F,Hispanic,32,Ector,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/22/2021,02/23/2018,14 to 15 Months
05/31/2022,Discharge,RP,M,White,34,Tarrant,23990194,Property,"THEFT PROP >=$2,500<$30K",11/08/2018,05/31/2018,4 Years
08/02/2022,Discharge,J2,M,White,39,Burnet,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",04/16/2021,01/12/2020,14 to 15 Months
03/22/2022,DMS,G2,M,Hispanic,38,Bexar,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/19/2018,06/14/2017,4 Years
05/20/2022,Discharge,J2,F,White,46,Johnson,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/30/2021,01/30/2021,9 to 10 Months
12/30/2021,Discharge,II,F,Hispanic,40,Bexar,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/15/2021,04/01/2021,6 Months & Less
10/26/2021,Discharge,J2,M,White,33,Cameron,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",04/20/2021,08/03/2020,17 to 18 Months
03/22/2022,Discharge,J2,M,Black,37,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/11/2021,01/23/2021,8 to 9 Months
02/24/2022,Parole,G2,M,Hispanic,46,Brazoria,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/28/2017,12/14/2015,16 to 20 Years
03/25/2022,Discharge,J2,M,White,46,Gregg,23990194,Property,"THEFT PROP >=$2,500<$30K",10/15/2020,03/11/2019,17 to 18 Months
11/02/2021,DMS,G2,M,White,38,Mitchell,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",09/28/2017,04/04/2017,2 Years & Less
08/26/2022,Discharge,J2,F,White,36,McLennan,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/13/2021,05/17/2020,11 to 12 Months
10/07/2021,Discharge,J1,F,Hispanic,33,Bexar,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/16/2020,04/18/2020,11 to 12 Months
02/14/2022,Discharge,J2,M,White,33,Smith,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",04/05/2021,02/13/2020,14 to 15 Months
01/20/2022,Discharge,J2,M,White,38,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/24/2021,07/13/2021,6 to 7 Months
12/30/2021,Discharge,J2,M,Black,61,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/15/2021,11/06/2020,7 to 8 Months
09/30/2021,Discharge,J2,M,White,36,Cochran,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,10/08/2020,05/24/2019,14 to 15 Months
04/05/2022,Discharge,J2,M,White,36,Wichita,23990194,Property,"THEFT PROP >=$2,500<$30K",11/23/2021,04/02/2021,11 to 12 Months
12/10/2021,Discharge,J2,M,Hispanic,42,San Patricio,23990194,Property,"THEFT PROP >=$2,500<$30K",11/20/2017,05/26/2017,23 to 24 Months & More
09/15/2021,Discharge,G2,M,Hispanic,46,Hidalgo,23990198,Property,THEFT PROP >=$30K<$150K,03/26/2018,07/17/2017,4 Years
10/20/2021,Parole,IT,F,White,44,Smith,23990194,Property,"THEFT PROP >=$2,500<$30K",01/22/2020,06/11/2019,6 Years
02/03/2022,Discharge,J2,F,White,44,McLennan,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/28/2021,02/24/2021,6 Months & Less
08/08/2022,Discharge,G4,M,White,38,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",09/09/2020,08/08/2020,2 Years & Less
04/18/2022,DMS,G2,M,White,35,Lubbock,23990010,Property,THEFT PROP >=$20K<$100K,03/23/2010,08/14/2009,2 Years & Less
11/19/2021,Discharge,J2,F,White,50,El Paso,23990029,Property,"THEFT OF SERV >=$1,500<$20K",02/14/2020,03/16/2002,23 to 24 Months & More
11/24/2021,Discharge,J2,F,White,58,Grayson,23990142,Property,THEFT PROP GRAVE/HUMAN CORPSE/MILITARY MARKER,07/07/2021,06/15/2019,6 Months & Less
07/22/2022,DMS,G1,M,White,41,Brazoria,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/15/2021,07/14/2021,2 Years & Less
04/15/2022,Parole,G2,M,White,39,Gregg,23990010,Property,THEFT PROP >=$20K<$100K,04/29/2013,07/08/2008,10 Years
07/11/2022,Discharge,J2,F,Black,34,Collin,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/25/2022,01/18/2022,6 Months & Less
06/01/2022,Discharge,J2,M,White,41,Travis,23990194,Property,"THEFT PROP >=$2,500<$30K",12/14/2021,08/08/2021,9 to 10 Months
12/20/2021,SAFPF - Prob,FT,F,White,34,Jefferson,23990029,Property,"THEFT OF SERV >=$1,500<$20K",,08/16/2008,SAFPF
01/11/2022,Discharge,J2,F,White,34,Ector,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/22/2021,08/01/2019,6 Months & Less
02/28/2022,DMS,G2,M,Black,40,Ellis,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/01/2021,04/14/2020,4 Years
05/26/2022,DMS,G2,M,Black,40,Collin,23990194,Property,"THEFT PROP >=$2,500<$30K",03/28/2022,02/27/2020,2 Years & Less
10/26/2021,Discharge,J2,F,Hispanic,36,Smith,23990194,Property,"THEFT PROP >=$2,500<$30K",02/23/2021,03/24/2020,11 to 12 Months
12/30/2021,Parole,G2,M,Black,30,Harris,23990194,Property,"THEFT PROP >=$2,500<$30K",08/07/2017,08/19/2016,6 Years
04/15/2022,Discharge,J2,M,White,37,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/09/2021,06/29/2021,11 to 12 Months
01/06/2022,SAFPF - Prob,FT,M,Hispanic,33,Smith,23990194,Property,"THEFT PROP >=$2,500<$30K",,03/11/2017,SAFPF
10/06/2021,Discharge,J1,F,Hispanic,34,Harris,23990194,Property,"THEFT PROP >=$2,500<$30K",04/05/2021,02/11/2018,9 to 10 Months
10/08/2021,Discharge,J4,M,Black,35,Harrison,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",08/31/2020,07/12/2020,14 to 15 Months
09/23/2021,DMS,G2,F,Hispanic,38,Kleberg,23990209,Property,THEFT PROP <$2500 2+ CONV ENH IAT,12/06/2017,03/28/2017,5 Years
05/26/2022,DMS,G2,M,White,35,Johnson,23990198,Property,THEFT PROP >=$30K<$150K,03/14/2022,08/01/2019,4 Years
11/30/2021,SAFPF - Prl,FT,M,White,35,Taylor,23990194,Property,"THEFT PROP >=$2,500<$30K",02/08/2018,07/11/2017,SAFPF
08/04/2022,Discharge,J2,M,White,34,Coryell,23990194,Property,"THEFT PROP >=$2,500<$30K",03/17/2022,01/01/2022,8 to 9 Months
02/02/2022,DMS,OT,M,Hispanic,39,Hidalgo,23990198,Property,THEFT PROP >=$30K<$150K,08/21/2019,02/10/2019,5 Years
12/16/2021,Discharge,J2,M,White,37,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/08/2021,03/22/2021,8 to 9 Months
12/06/2021,Discharge,J2,M,Hispanic,36,Collin,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/27/2021,06/10/2021,6 Months & Less
03/09/2022,Discharge,J2,F,White,54,Brazoria,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/11/2021,11/23/2020,11 to 12 Months
09/03/2021,Discharge,J2,F,Hispanic,41,Brazoria,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",01/13/2021,12/27/2019,7 to 8 Months
01/14/2022,Discharge,J2,M,White,50,Harris,23990194,Property,"THEFT PROP >=$2,500<$30K",11/17/2021,10/26/2020,11 to 12 Months
03/04/2022,Discharge,J2,M,White,36,Harris,23990132,Property,THEFT FROM PERSON,10/28/2021,05/17/2021,11 to 12 Months
03/25/2022,Discharge,J4,M,Black,37,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/10/2021,08/22/2021,8 to 9 Months
07/06/2022,Discharge,J2,F,Black,52,Ellis,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/10/2022,08/05/2020,11 to 12 Months
03/21/2022,Discharge,J2,M,Hispanic,34,Guadalupe,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/30/2020,08/11/2019,17 to 18 Months
11/05/2021,Discharge,J2,F,Black,39,Tarrant,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",08/23/2021,05/11/2021,6 Months & Less
03/09/2022,Discharge,J2,M,Hispanic,38,Cameron,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/10/2021,02/12/2021,14 to 15 Months
04/01/2022,Discharge,J1,F,Black,37,Jefferson,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/28/2021,05/03/2021,11 to 12 Months
12/27/2021,Parole,G2,M,Black,40,Harris,23990010,Property,THEFT PROP >=$20K<$100K,06/12/2013,01/25/2012,26 to 30 Years
08/26/2022,DMS,G2,M,White,36,Nacogdoches,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/07/2020,06/24/2019,4 Years
01/12/2022,Discharge,G2,M,Black,30,Tarrant,23990194,Property,"THEFT PROP >=$2,500<$30K",03/27/2020,01/13/2020,2 Years & Less
09/15/2021,Discharge,J2,M,Hispanic,38,Bell,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",05/05/2021,11/20/2020,9 to 10 Months
05/27/2022,Discharge,J2,M,White,40,Jasper,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/01/2021,02/12/2020,13 to 14 Months
03/17/2022,DMS,G2,M,Black,35,Dallas,23990202,Property,THEFT PROP <$300K ATM,11/11/2021,11/28/2019,2 Years & Less
10/14/2021,Discharge,J2,F,White,39,Lamar,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",09/04/2020,05/07/2018,19 to 20 Months
07/29/2022,Discharge,J2,M,Hispanic,34,Cameron,23990194,Property,"THEFT PROP >=$2,500<$30K",08/30/2021,06/21/2019,23 to 24 Months & More
11/24/2021,Discharge,J2,M,Black,41,Dallas,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",03/19/2021,11/24/2020,9 to 10 Months
10/29/2021,Discharge,J2,M,Black,36,Harris,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",06/10/2021,01/30/2021,10 to 11 Months
10/27/2021,DMS,G2,M,White,46,Van Zandt,23990208,Property,THEFT PROP >=$2500<$30K ENH IAT,10/05/2020,06/28/2019,3 Years
12/02/2021,Discharge,J2,M,White,32,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",07/29/2021,06/08/2021,6 Months & Less
02/11/2022,Discharge,J2,M,Hispanic,41,Bexar,23990132,Property,THEFT FROM PERSON,12/02/2021,02/22/2021,11 to 12 Months
09/10/2021,Discharge,G2,M,White,36,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",10/03/2019,06/30/2019,2 Years & Less
02/28/2022,Parole,G2,M,Black,33,Harris,23990198,Property,THEFT PROP >=$30K<$150K,04/21/2021,05/10/2019,3 Years
08/25/2022,Discharge,RF,F,Black,42,Victoria,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",03/05/2013,02/19/2012,14 to 15 Months
03/01/2022,DMS,OT,M,White,32,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/16/2018,12/21/2017,8 Years
12/07/2021,Discharge,J2,M,Hispanic,33,Hidalgo,23990194,Property,"THEFT PROP >=$2,500<$30K",09/20/2021,03/07/2021,8 to 9 Months
10/14/2021,Discharge,J2,M,White,36,San Patricio,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",04/20/2021,07/25/2020,13 to 14 Months
09/10/2021,Discharge,MD,F,Black,40,Tarrant,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",04/23/2021,10/24/2020,6 Months & Less
03/29/2022,Discharge,J1,F,White,36,Montgomery,23990194,Property,"THEFT PROP >=$2,500<$30K",02/09/2021,10/03/2017,17 to 18 Months
02/18/2022,Discharge,J2,F,White,46,Hardin,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/20/2021,12/03/2019,8 to 9 Months
10/06/2021,Parole,G2,M,White,51,Denton,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/25/2018,06/03/2017,5 Years
09/28/2021,Discharge,J2,F,White,42,Rockwall,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",07/29/2021,01/29/2021,6 Months & Less
01/18/2022,Discharge,J2,M,White,38,Hood,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/15/2021,07/24/2021,6 Months & Less
06/07/2022,DMS,G2,M,White,32,Taylor,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/29/2021,03/27/2020,5 Years
03/25/2022,Discharge,J2,M,Hispanic,37,Bexar,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/18/2021,12/04/2019,8 to 9 Months
08/03/2022,Parole,G1,M,White,38,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/10/2022,08/05/2020,2 Years & Less
03/11/2022,Discharge,J2,F,Black,45,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/11/2020,03/13/2017,19 to 20 Months
06/08/2022,DMS,OT,M,White,37,Coryell,23990208,Property,THEFT PROP >=$2500<$30K ENH IAT,05/10/2021,03/25/2019,4 Years
10/15/2021,Discharge,J2,M,Hispanic,46,Howard,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",03/17/2021,08/04/2016,8 to 9 Months
11/24/2021,Discharge,J2,M,White,35,Lamar,23990194,Property,"THEFT PROP >=$2,500<$30K",01/15/2021,09/16/2019,19 to 20 Months
12/10/2021,Discharge,J2,F,Black,36,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/30/2021,09/20/2019,6 Months & Less
05/05/2022,Parole,G2,M,White,33,Wichita,23990208,Property,THEFT PROP >=$2500<$30K ENH IAT,01/16/2020,09/11/2018,4 Years
10/12/2021,Discharge,J2,F,White,35,Wichita,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",07/13/2021,05/17/2020,8 to 9 Months
08/25/2022,Discharge,J2,M,Black,34,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/23/2022,11/03/2021,6 Months & Less
08/29/2022,Discharge,J2,F,Black,36,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/24/2022,01/13/2022,8 to 9 Months
05/06/2022,Discharge,J2,M,White,34,Brazoria,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/14/2022,05/08/2021,11 to 12 Months
08/01/2022,SAFPF - Prob,FT,M,White,43,Jefferson,23990210,Property,THEFT MATER ALUM/BRNZ/CPPR/BRSS <$20K ENH IAT,,11/14/2019,SAFPF
01/05/2022,Discharge,J2,M,White,39,Erath,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/09/2021,11/28/2019,11 to 12 Months
11/01/2021,Parole,CP,F,White,39,Smith,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/14/2020,07/10/2020,3 Years
01/07/2022,Discharge,J5,F,Black,42,Scurry,23990207,Property,THEFT PROP >=$750<$2500 ENH IAT,01/05/2018,08/17/2016,23 to 24 Months & More
09/02/2021,DMS,G2,M,Hispanic,35,Ector,23990198,Property,THEFT PROP >=$30K<$150K,04/16/2020,07/06/2019,3 Years
04/29/2022,Parole,G2,M,White,61,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/22/2021,06/14/2019,2 Years & Less
02/23/2022,Discharge,J2,M,Hispanic,53,Ector,23990194,Property,"THEFT PROP >=$2,500<$30K",05/19/2021,11/25/2017,11 to 12 Months
01/06/2022,Parole,G2,M,Hispanic,32,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/15/2021,02/24/2021,2 Years & Less
02/25/2022,Parole,G1,M,White,35,Brazos,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/10/2020,12/18/2019,6 Years
07/15/2022,DMS,G2,M,White,37,Lubbock,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/03/2022,08/05/2020,4 Years
02/22/2022,Discharge,J2,M,Hispanic,33,Cameron,23990194,Property,"THEFT PROP >=$2,500<$30K",06/10/2021,08/25/2020,11 to 12 Months
07/06/2022,Discharge,J2,M,Black,34,Harris,23990132,Property,THEFT FROM PERSON,02/25/2022,12/03/2021,8 to 9 Months
09/08/2021,Discharge,J2,M,White,32,Tarrant,23990008,Property,THEFT OF FIREARM,06/04/2021,04/16/2020,14 to 15 Months
12/14/2021,Discharge,J2,M,Black,45,Tarrant,23990194,Property,"THEFT PROP >=$2,500<$30K",09/07/2021,01/18/2019,11 to 12 Months
02/11/2022,Discharge,J2,F,White,37,Bell,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/28/2021,06/06/2019,11 to 12 Months
04/14/2022,Discharge,J2,M,Hispanic,32,Bexar,23990194,Property,"THEFT PROP >=$2,500<$30K",07/09/2021,09/21/2020,17 to 18 Months
05/06/2022,Discharge,J2,M,Black,37,Taylor,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/21/2019,03/28/2019,11 to 12 Months
09/22/2021,Discharge,G2,M,Asian,69,Harris,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",09/26/2019,09/23/2019,2 Years & Less
12/30/2021,Discharge,J2,F,White,41,Bexar,23990194,Property,"THEFT PROP >=$2,500<$30K",10/21/2021,07/12/2021,6 Months & Less
11/18/2021,Discharge,J2,F,White,34,Dallas,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",06/30/2021,10/08/2020,8 to 9 Months
04/05/2022,Discharge,J2,F,White,35,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/10/2021,02/01/2021,8 to 9 Months
11/29/2021,Discharge,J2,M,Black,39,Gregg,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",08/24/2021,06/07/2021,6 Months & Less
10/22/2021,Discharge,J2,M,White,32,Smith,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",07/08/2021,08/15/2019,19 to 20 Months
10/27/2021,SAFPF - Prob,FT,M,Black,33,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",,06/25/2019,SAFPF
04/22/2022,Discharge,J2,F,Black,33,Tom Green,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/05/2021,06/29/2021,9 to 10 Months
04/04/2022,DMS,G2,M,White,35,Lubbock,23990194,Property,"THEFT PROP >=$2,500<$30K",02/08/2022,04/06/2020,2 Years & Less
07/25/2022,Discharge,J1,F,Hispanic,35,Guadalupe,23990194,Property,"THEFT PROP >=$2,500<$30K",01/05/2022,01/18/2020,10 to 11 Months
08/23/2022,DMS,G2,F,White,37,Kerr,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/28/2021,11/14/2020,2 Years & Less
11/24/2021,Discharge,J4,M,Black,43,Harris,23990132,Property,THEFT FROM PERSON,04/27/2021,01/30/2020,23 to 24 Months & More
09/20/2021,Discharge,G5,M,Hispanic,41,Hidalgo,23990198,Property,THEFT PROP >=$30K<$150K,02/06/2019,09/09/2018,3 Years
04/19/2022,SAFPF - Prob,FT,M,Black,31,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",,04/28/2020,SAFPF
01/31/2022,Discharge,J2,M,Hispanic,40,Hidalgo,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/30/2019,03/31/2019,11 to 12 Months
10/14/2021,Discharge,J2,M,White,32,Taylor,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",04/11/2019,06/03/2018,11 to 12 Months
01/05/2022,Parole,G2,M,White,35,Johnson,23990208,Property,THEFT PROP >=$2500<$30K ENH IAT,03/04/2019,03/22/2018,6 Years
10/22/2021,Discharge,J2,F,Black,43,Harris,23990132,Property,THEFT FROM PERSON,08/10/2021,10/27/2020,11 to 12 Months
09/20/2021,Discharge,J2,F,Black,35,Jefferson,23990132,Property,THEFT FROM PERSON,07/21/2021,04/15/2019,6 Months & Less
12/30/2021,Discharge,J2,M,Black,40,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/03/2021,07/06/2021,6 Months & Less
09/03/2021,Discharge,J2,M,White,32,Johnson,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",09/18/2018,03/29/2018,11 to 12 Months
05/02/2022,Discharge,J5,M,White,32,Harris,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,10/25/2021,11/25/2019,11 to 12 Months
03/18/2022,Discharge,J2,F,White,49,Montgomery,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/09/2021,07/11/2021,6 Months & Less
12/06/2021,Discharge,J2,M,White,38,Johnson,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/19/2021,09/07/2020,6 Months & Less
11/29/2021,SAFPF - Prob,FT,M,Hispanic,42,Webb,23990194,Property,"THEFT PROP >=$2,500<$30K",,04/15/2016,SAFPF
10/22/2021,Discharge,J2,M,White,35,Cooke,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",04/22/2021,02/25/2021,9 to 10 Months
01/03/2022,Discharge,J2,M,Hispanic,57,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/03/2021,03/24/2021,7 to 8 Months
06/30/2022,Parole,G2,M,White,34,Tarrant,23990198,Property,THEFT PROP >=$30K<$150K,04/23/2021,02/28/2021,2 Years & Less
12/28/2021,Discharge,J2,F,Black,35,Liberty,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/19/2020,11/28/2017,10 to 11 Months
06/13/2022,Discharge,J2,F,Black,37,Harris,23990132,Property,THEFT FROM PERSON,01/20/2022,02/18/2019,6 to 7 Months
12/10/2021,DMS,G1,M,White,37,Ward,23990198,Property,THEFT PROP >=$30K<$150K,11/03/2020,08/17/2020,3 Years
02/23/2022,Discharge,J2,F,Hispanic,42,Hidalgo,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/18/2021,02/28/2020,9 to 10 Months
01/14/2022,Discharge,J2,M,Hispanic,35,Jack,23990194,Property,"THEFT PROP >=$2,500<$30K",07/09/2021,11/07/2020,8 to 9 Months
04/08/2022,Parole,G1,F,Black,39,Harris,23990194,Property,"THEFT PROP >=$2,500<$30K",01/27/2021,01/04/2020,3 Years
02/09/2022,Discharge,J2,F,White,38,Rockwall,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/15/2020,06/28/2019,19 to 20 Months
03/04/2022,DMS,G2,M,White,36,Harrison,23990194,Property,"THEFT PROP >=$2,500<$30K",02/12/2019,08/14/2018,6 Years
09/16/2021,Discharge,J2,F,White,48,Hunt,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",05/07/2021,12/06/2019,8 to 9 Months
04/18/2022,Parole,IT,M,Hispanic,32,Comal,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/18/2019,11/30/2018,7 Years
10/18/2021,Discharge,J2,M,White,34,Tarrant,23990194,Property,"THEFT PROP >=$2,500<$30K",07/13/2021,03/29/2021,6 Months & Less
12/03/2021,Discharge,J4,F,Hispanic,33,Hidalgo,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/09/2019,05/20/2019,23 to 24 Months & More
01/28/2022,Discharge,J2,M,Hispanic,30,Bexar,23990194,Property,"THEFT PROP >=$2,500<$30K",08/09/2021,02/21/2021,11 to 12 Months
10/29/2021,Discharge,J2,F,White,35,Montgomery,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",07/20/2021,03/24/2021,6 Months & Less
12/17/2021,Discharge,J2,M,White,35,Kerr,23990004,Property,"THEFT PROP>=$1,500<$20K",04/01/2013,09/21/2012,11 to 12 Months
01/05/2022,Parole,OT,M,White,32,Hopkins,23990157,Property,THEFT PROP $1500<$20K ENH,05/18/2016,09/23/2015,7 Years
12/23/2021,Discharge,J2,M,White,36,Smith,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/23/2021,09/14/2020,14 to 15 Months
03/10/2022,Discharge,J2,M,Black,36,Montgomery,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/05/2021,03/03/2021,7 to 8 Months
05/18/2022,Discharge,J2,M,White,33,Jefferson,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/02/2021,01/15/2020,13 to 14 Months
08/23/2022,SAFPF - Prob,FT,M,Black,34,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",,01/08/2021,SAFPF
01/20/2022,Discharge,J2,F,Hispanic,40,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/20/2021,01/15/2020,6 Months & Less
05/20/2022,Discharge,J4,M,Black,31,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/28/2022,07/28/2021,9 to 10 Months
12/03/2021,DMS,G1,M,Black,45,Bexar,23990194,Property,"THEFT PROP >=$2,500<$30K",01/13/2020,04/27/2018,2 Years & Less
05/04/2022,Discharge,J1,F,Black,35,Brazos,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/21/2021,11/21/2020,11 to 12 Months
11/08/2021,Discharge,J2,F,White,42,Harris,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",08/26/2021,10/24/2020,11 to 12 Months
04/14/2022,Discharge,J2,M,White,32,Brazoria,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/16/2021,09/08/2020,13 to 14 Months
06/30/2022,DMS,G2,M,Hispanic,33,Hidalgo,23990010,Property,THEFT PROP >=$20K<$100K,07/07/2021,07/27/2008,2 Years & Less
